x,y,z,elevation,aspect,slope,twi
-95.375,34.625,0.301860571,406,0.527262628,0.083254613,8.632863045
-95.125,34.625,0.318138391,195,6.083669662,0.057462756,13.55529594
-94.875,34.625,0.301914215,530,3.694103718,0.04313118,10.14022541
-94.625,34.625,0.298603594,397,6.213598728,0.137351781,8.75919342
-94.375,34.625,0.286128461,309,4.260698318,0.011775444,13.93322945
-94.125,34.625,0.290261894,317,4.047191143,0.010912325,12.9849596
-101.375,34.375,0.221102029,1002,2.213949203,0.001835448,12.99648952
-101.125,34.375,0.177301347,850,2.809647083,0.021864478,12.07202721
-100.875,34.375,0.196941137,708,3.944741488,0.006555757,13.82320595
-100.625,34.375,0.220768183,639,3.949108601,0.011567221,11.13668156
-100.375,34.375,0.161746517,578,2.169758081,0.004881563,12.79228878
-100.125,34.375,0.216982231,527,4.828651905,0.007586447,12.9776392
-99.875,34.375,0.266813129,487,1.421373129,0.005632927,11.3504982
-99.625,34.375,0.280545115,426,2.051543951,0.006987777,17.43393898
-99.375,34.375,0.157970876,413,5.279340744,0.002165775,14.80459023
-99.125,34.375,0.223014176,396,3.999463081,0.005623849,12.79606915
-98.875,34.375,0.28606686,346,2.47279644,0.00308266,15.24353313
-98.625,34.375,0.285364598,330,2.028032541,0.003296216,13.56195927
-98.375,34.375,0.283041835,332,3.190589666,0.004091972,11.56783581
-98.125,34.375,0.258084983,320,3.085476875,0.005467761,11.16718388
-97.875,34.375,0.265600741,326,1.634461522,0.004177302,11.4069643
-97.625,34.375,0.247453362,322,4.585907936,0.018740764,11.60777378
-97.375,34.375,0.275922388,294,3.346741199,0.007359896,13.37208748
-97.125,34.375,0.324558049,372,1.836334348,0.003819264,12.2933569
-96.875,34.375,0.309340566,336,3.144816637,0.004227913,12.09383106
-96.625,34.375,0.310113847,279,2.658592701,0.006572254,14.05777168
-96.375,34.375,0.279167026,202,1.156474471,0.013990931,11.18265629
-96.125,34.375,0.292721301,186,2.353238821,0.005632973,11.97830868
-95.875,34.375,0.317311525,195,4.532141209,0.003403796,16.88123512
-95.625,34.375,0.314342439,248,2.178647041,0.042809524,9.89763546
-95.375,34.375,0.306602299,197,2.690573692,0.025314804,14.61112404
-95.125,34.375,0.311347991,314,3.635337114,0.022799369,9.970654488
-94.875,34.375,0.298775047,223,1.934306383,0.005240831,14.23573208
-94.625,34.375,0.286049932,234,0.521469235,0.009133846,18.14050484
-94.375,34.375,0.293525875,338,5.903813839,0.013443045,11.41024876
-94.125,34.375,0.290860981,343,3.906471968,0.018041527,11.3514986
-101.375,34.125,0.214421347,997,3.121774673,0.000659075,13.42058086
-101.125,34.125,0.223879218,949,3.164230824,0.001803499,16.48514938
-100.875,34.125,0.18367669,731,1.978822708,0.004168929,13.30611992
-100.625,34.125,0.228252441,637,2.713646412,0.009620003,12.99207115
-100.375,34.125,0.109249935,560,5.413452625,0.018152252,11.46644306
-100.125,34.125,0.266393453,540,5.864657402,0.005082165,13.35441589
-99.875,34.125,0.297872782,495,2.200408697,0.012718848,12.00702572
-99.625,34.125,0.290269166,417,3.378243208,0.007341907,14.17481613
-99.375,34.125,0.179456532,377,5.703204155,0.005196381,15.84643745
-99.125,34.125,0.289445847,386,5.243044376,0.003886134,11.96054173
-98.875,34.125,0.294563353,339,1.327096105,0.005135737,12.44526005
-98.625,34.125,0.270066082,327,2.843814373,0.004297372,11.94636345
-98.375,34.125,0.253289849,297,4.111221313,0.004907139,11.68463612
-98.125,34.125,0.255560696,269,1.762963533,0.004063595,12.80779839
-97.875,34.125,0.253439844,277,2.121890068,0.006880414,12.04540157
-97.625,34.125,0.262437761,269,3.195643902,0.008007568,11.12877464
-97.375,34.125,0.27335,285,5.828279972,0.009137061,10.91073704
-97.125,34.125,0.275870204,243,1.584701538,0.012455569,12.13459969
-96.875,34.125,0.238520384,280,1.972611547,0.009545629,11.05990314
-96.625,34.125,0.380958885,209,4.037752628,0.008641248,13.20798302
-96.375,34.125,0.385292828,193,3.718779802,0.008151658,11.36732864
-96.125,34.125,0.305754572,187,0.746741354,0.009843702,12.80213737
-95.875,34.125,0.303225547,164,3.382756233,0.010044346,10.79463196
-95.625,34.125,0.299156368,182,1.216303468,0.007621869,11.70529938
-95.375,34.125,0.306812078,169,4.49912405,0.01210501,10.49257851
-95.125,34.125,0.306139231,151,3.060231924,0.005695072,11.79326534
-94.875,34.125,0.319553465,145,4.133913994,0.010947526,13.64252853
-94.625,34.125,0.303818882,215,3.751645565,0.012281318,12.5640974
-94.375,34.125,0.306479037,148,4.603278637,0.011025962,12.32868862
-94.125,34.125,0.300394118,185,3.216028929,0.015324656,10.98975468
-101.375,33.875,0.206169993,960,0.536523163,0.00621669,11.88739872
-101.125,33.875,0.215439409,934,2.69025898,0.001056202,16.79361916
-100.875,33.875,0.182113737,798,1.936976552,0.012547569,11.3850975
-100.625,33.875,0.129288182,682,1.063584805,0.015940474,12.54945564
-100.375,33.875,0.13764134,598,1.825502992,0.00576313,12.71740437
-100.125,33.875,0.27523154,565,1.762478709,0.008048577,10.87517548
